Company,Last Price,chg,%chg,Day High,Day Low
SHRIRAM CITY UNION,2060.00,-3.50,(-0.17%),2092.95,2060.00
BERGER PAINTS INDIA,259.25,-0.45,(-0.17%),263.00,257.90
MCLEOD RUSSEL INDIA,207.50,-0.35,(-0.17%),209.45,206.00
VARUN BEVERAGES LTD.,577.20,-0.90,(-0.16%),587.05,572.00
HAVELLS INDIA,548.60,-0.85,(-0.15%),556.00,548.05
ICICI PRUDENTIAL,394.50,-0.60,(-0.15%),396.40,393.55
STRIDES SHASUN,835.90,-1.20,(-0.14%),845.00,832.80
IRB INFRASTRUCTURE,235.35,-0.30,(-0.13%),238.00,231.40
MAHANAGAR GAS LTD.,1117.00,-1.45,(-0.13%),1125.80,1107.00
TITAN COMPANY,855.10,-1.00,(-0.12%),864.00,850.00
ZEE LEARN,45.20,-0.05,(-0.11%),46.95,44.80
MONSANTO INDIA,2456.25,-2.55,(-0.10%),2500.00,2455.10
